feature,rf_importance,extra_importance,enriched_importance,regime_importance,ann_branch_importance
report_net_debt_yoy_change,0.0,0.010102398137980138,0.0,0.0,0.0006291258058012617
report_litigation_count,0.0,0.0,0.0,0.0,0.0
report_lag_days_sector_z,0.0,0.0,0.0,0.0,0.0
report_impairment_count,0.0,0.0,0.0,0.0,0.0
report_free_cf_margin_sector_z,0.0,0.0,0.0,0.0,0.0
report_financial_pressure_sector_z,0.0,0.0,0.0,0.0,0.001228449164540027
report_integrated_stress_cs_rank,0.0,0.020982313289491145,0.0,0.0,0.03658732615776419
report_integrated_stress_sector_z,0.0,0.0,0.0,0.0,0.0
report_text_risk_terms_total,0.0,0.004273688182969697,0.0,0.0,0.0008225861854360136
report_sanctions_count,0.0,0.0,0.0,0.0,0.0
report_short_debt_share,0.0,0.0,0.0,0.0,0.0
sector=consumer,0.0,0.0,0.0,0.0,0.00018652739287998158
sector=chemicals,0.0,0.0,0.0,0.015067355274983209,6.6776023888431984e-06
rolling_vol_20d_sector_z,0.0,0.005824334351756311,0.0,0.0,0.0
report_total_debt_yoy_change,0.0,0.002431749004075,0.0,0.0,0.0
report_staleness_weight,0.0,0.009606686775626977,0.0,0.0,0.0020721785427650716
report_stale_flag,0.0,0.04194116976374296,0.0,0.0,0.0
report_text_risk_density_sector_z,0.0,0.0,0.0,0.0,0.0
sector=metals_mining,0.0,0.0,0.0,0.00916026378310206,0.0
sector=utilities,0.0,0.0,0.0,0.007517763945660362,0.0003758200733235324
sector=transport,0.0,0.0,0.0,0.015656795484193686,0.0
sector=telecom,0.0,0.0,0.0,0.02012720950726622,0.0
sector=retail,0.0,0.013280788185231063,0.0,0.07445159576928315,0.0
sector=oil_gas,0.0,0.0019866017542447905,0.0,0.034407963212494244,0.002201045337367913
sector=real_estate,0.0,0.0,0.0,0.02555073807211142,0.0008468158350018895
spread_proxy_sector_z,0.0,0.0,0.0,0.0,0.0012130076883743004
turnover_ratio_sector_z,0.0,0.004091143230176053,0.0,0.0,0.0004994462228333484
