sector,rows,global_macro_f1,expert_macro_f1,gain,selected
telecom,5,0.2962962962962963,0.3333333333333333,0.037037037037037035,False
chemicals,6,0.30303030303030304,0.3333333333333333,0.030303030303030276,False
metals_mining,5,0.35555555555555557,0.35555555555555557,0.0,False
oil_gas,6,0.16666666666666666,0.16666666666666666,0.0,False
real_estate,5,0.5,0.5,0.0,False
retail,6,0.16666666666666666,0.16666666666666666,0.0,False
banks_financials,11,0.2745098039215686,0.25925925925925924,-0.015250544662309351,False
transport,6,0.47222222222222215,0.4523809523809524,-0.01984126984126977,False
utilities,6,0.2962962962962963,0.19047619047619047,-0.10582010582010581,False
consumer,6,0.7777777777777777,0.5079365079365079,-0.26984126984126977,False
technology,4,1.0,0.5555555555555555,-0.44444444444444453,False
