fold,train_rows,validation_rows,test_rows,macro_f1,weighted_f1,balanced_accuracy,high_recall,high_precision,high_false_negative_rate,ordinal_adjacent_accuracy
1,242,83,81,0.364560639070443,0.43901126980284566,0.39285714285714285,0.7,0.6363636363636364,0.3,0.7777777777777778
2,325,81,80,0.451331236356761,0.5218957871396895,0.4697376267143709,0.6976744186046512,0.6976744186046512,0.3023255813953488,0.8875
3,406,80,83,0.4432098765432098,0.6079428826416777,0.4583333333333333,1.0,0.7088607594936709,0.0,0.9397590361445783
4,486,83,83,0.5108901515151515,0.725355969331873,0.5101686507936508,0.828125,0.828125,0.171875,0.8674698795180723
