ticker,company_name,issuer_url
SBER,ПАО Сбербанк,https://www.sberbank.com/investor-relations/groupresults
GAZP,ПАО Газпром,https://www.gazprom.com/investors/disclosure/reports/
TATN,ПАО Татнефть,https://www.tatneft.ru/en/shareholders-and-investors/disclosure-of-information/financial-statements
CHMF,ПАО Северсталь,https://www.severstal.com/eng/ir/results-and-reports/financial-results/
MGNT,ПАО Магнит,https://www.magnit.com/ru/shareholders-and-investors/results-and-reports/financial-results/
AFLT,ПАО Аэрофлот,https://ir.aeroflot.ru/financial-results-and-presentations/financial-statements/
