date,cbr_key_rate,usd_rub,ofz_slope_10y_2y,imoex_realized_vol_20d,average_market_correlation_60d
2022-01-03,8.5,75.1315,-0.25,0.016712723168062334,0.6672652422015889
2022-01-04,8.5,75.1315,-0.25,0.016712723168062334,0.6672652422015889
2022-01-05,8.5,75.1315,-0.25,0.016712723168062334,0.6672652422015889
2022-01-06,8.5,75.1315,-0.25,0.016712723168062334,0.6672652422015889
2022-01-07,8.5,75.1315,-0.25,0.016712723168062334,0.6672652422015889
2022-01-10,8.5,75.1315,-0.25,0.016712723168062334,0.6672652422015889
2022-01-11,8.5,75.1315,-0.25,0.016712723168062334,0.6672652422015889
2022-01-12,8.5,74.8355,-0.25,0.016712723168062334,0.6672652422015889
2022-01-13,8.5,74.5277,-0.25,0.016712723168062334,0.6672652422015889
2022-01-14,8.5,74.5686,-0.25,0.016712723168062334,0.6672652422015889
2022-01-17,8.5,75.7668,-0.25,0.016712723168062334,0.6672652422015889
2022-01-18,8.5,76.0404,-0.25,0.02344217729967527,0.6672652422015889
2022-01-19,8.5,76.3347,-0.25,0.025901631298807116,0.6672652422015889
2022-01-20,8.5,76.8697,-0.25,0.026358022243280807,0.6672652422015889
2022-01-21,8.5,76.4408,-0.25,0.025645852467397864,0.6672652422015889
2022-01-24,8.5,76.6903,-0.25,0.02806879590673019,0.6672652422015889
2022-01-25,8.5,77.3649,-0.25,0.02750647944871673,0.6672652422015889
2022-01-26,8.5,78.6422,-0.25,0.028378296490903666,0.6672652422015889
2022-01-27,8.5,78.9437,-0.25,0.02887466948350066,0.6672652422015889
2022-01-28,8.5,78.947,-0.25,0.02827329903351071,0.6672652422015889
2022-01-31,8.5,77.8174,-0.25,0.02777440464600299,0.6672652422015889
2022-02-01,8.5,77.4702,-0.25,0.027767239450367517,0.6672652422015889
2022-02-02,8.5,77.1302,-0.25,0.02764874734892296,0.6581020517936961
2022-02-03,8.5,76.4849,-0.25,0.027770722599196558,0.6543274095699254
2022-02-04,8.5,76.6501,-0.25,0.027712097943961705,0.6517536110543679
2022-02-07,8.5,76.0509,-0.25,0.027697150651290713,0.6436803363550806
2022-02-08,8.5,75.6806,-0.25,0.028125162520283326,0.6392932299505381
2022-02-09,8.5,75.3042,-0.25,0.028614959193820014,0.6418646669038435
2022-02-10,8.5,74.8015,-0.25,0.02717331943877716,0.635389356084004
2022-02-11,8.5,74.7241,-0.25,0.027597624237057545,0.6509778704991787
2022-02-14,9.5,74.9867,-0.25,0.027812084859573077,0.6427552567228265
2022-02-15,9.5,76.5762,-0.25,0.024382177045201132,0.6402341098805917
2022-02-16,9.5,76.166,-0.25,0.023569679552853086,0.6388517516706562
2022-02-17,9.5,75.0141,-0.25,0.02471864827635929,0.643261306308542
2022-02-18,9.5,75.7527,-0.25,0.025397832271165745,0.6521151865719365
2022-02-21,9.5,75.7619,-0.25,0.03214620273857111,0.756433755778482
2022-02-22,9.5,76.7671,-0.25,0.03233982778898111,0.7530023225206398
2022-02-24,9.5,80.4194,-0.25,0.07996731989768574,0.8672449333211918
2022-02-25,9.5,86.9288,-0.5700000000000003,0.09355487461477055,0.8359013530300189
2022-03-24,20.0,103.1618,-0.5700000000000003,0.09427634992159689,0.7876723613012016
2022-03-25,20.0,96.0458,-0.5700000000000003,0.09430307590585353,0.7718529478855846
2022-03-28,20.0,95.6618,-0.5700000000000003,0.09422939368962933,0.7576479577314575
2022-03-29,20.0,93.7125,-0.5700000000000003,0.09419016265151406,0.7434329515576591
2022-03-30,20.0,86.2843,-0.5700000000000003,0.09504757756495422,0.7312752713679915
2022-03-31,20.0,84.0851,-1.3399999999999999,0.09700340499483967,0.728489926278667
2022-04-01,20.0,83.4097,-1.3399999999999999,0.0971965099278053,0.7132806275955952
2022-04-04,20.0,83.4285,-1.3399999999999999,0.09703065718063539,0.709066287454489
2022-04-05,20.0,83.5932,-1.3399999999999999,0.09708661532055289,0.7079741401316857
2022-04-06,20.0,83.352,-1.3399999999999999,0.09703957001235873,0.7055325359500475
2022-04-07,20.0,82.5962,-1.3399999999999999,0.09704469690708399,0.7041421363958161
2022-04-08,20.0,76.2547,-1.3399999999999999,0.09703544287744814,0.7004670193160953
2022-04-11,17.0,74.8501,-1.3399999999999999,0.09649090506896424,0.6982094061014738
2022-04-12,17.0,79.1596,-1.3399999999999999,0.09632784205261828,0.6974505889019581
2022-04-13,17.0,79.6274,-1.3399999999999999,0.09616974641751826,0.6961437663335015
2022-04-14,17.0,79.8471,-1.3399999999999999,0.09641860579974752,0.6990267649678779
2022-04-15,17.0,81.288,-1.3399999999999999,0.09396335680645321,0.6984876491280437
2022-04-18,17.0,80.0437,-1.3399999999999999,0.09400582492775572,0.697309194248727
2022-04-19,17.0,79.4529,-1.3399999999999999,0.055133874985365317,0.6957097156987181
2022-04-20,17.0,79.0287,-1.3399999999999999,0.03127625045991285,0.692759746256971
2022-04-21,17.0,77.0809,-1.3399999999999999,0.02969097282350082,0.6900804141735843
2022-04-22,17.0,74.999,-1.3399999999999999,0.028940699527811656,0.6879595895956538
2022-04-25,17.0,73.505,-1.3399999999999999,0.02891435749676888,0.6850549858848902
2022-04-26,17.0,73.3611,-1.3399999999999999,0.03236245678455651,0.6865970756253149
2022-04-27,17.0,72.7089,-1.3399999999999999,0.03252898916564998,0.685136731935718
2022-04-28,17.0,72.8764,-1.3399999999999999,0.027116659145970192,0.6847803669277563
2022-04-29,17.0,72.2953,0.6400000000000006,0.027399877644797416,0.6849130412823302
2022-05-04,14.0,71.0237,0.6400000000000006,0.027625372268830703,0.6846891635285204
2022-05-05,14.0,69.416,0.6400000000000006,0.02654864584159045,0.684957660705192
2022-05-06,14.0,66.2378,0.6400000000000006,0.026328001357409838,0.6837998165538341
2022-05-11,14.0,67.3843,0.6400000000000006,0.02614876718220445,0.6832542132809368
2022-05-12,14.0,68.8389,0.6400000000000006,0.02705654886513354,0.6857098773729392
2022-05-13,14.0,65.7916,0.6400000000000006,0.027072511669511114,0.6822212669073653
2022-05-16,14.0,63.7799,0.6400000000000006,0.02785910476185585,0.6836473562982716
2022-05-17,14.0,63.4445,0.6400000000000006,0.02856571446834363,0.6843718745537037
2022-05-18,14.0,63.5428,0.6400000000000006,0.026377129967886423,0.6849595091406087
2022-05-19,14.0,63.5643,0.6400000000000006,0.026339694228316023,0.6836262018412579
2022-05-20,14.0,62.4031,0.6400000000000006,0.025844939848380717,0.684537776755812
2022-05-23,14.0,58.8862,0.6400000000000006,0.026655462490252052,0.6856201503827805
2022-05-24,14.0,58.2087,0.6400000000000006,0.026631363974090515,0.6833190111650311
2022-05-25,14.0,56.969,0.6400000000000006,0.026327350570129554,0.683407812478977
2022-05-26,14.0,56.2996,0.6400000000000006,0.026709553214295884,0.6831900394629087
2022-05-27,11.0,62.0495,0.6400000000000006,0.026119735100904973,0.6826211846893849
2022-05-30,11.0,66.4029,0.6400000000000006,0.022671318608732505,0.6821622972513681
2022-05-31,11.0,63.0975,-0.3699999999999992,0.020617668526608783,0.6816093962257526
2022-06-01,11.0,61.6069,-0.3699999999999992,0.020378301471447244,0.6814912968135828
2022-06-02,11.0,61.4733,-0.3699999999999992,0.019673595266090214,0.6761950157617284
2022-06-03,11.0,61.575,-0.3699999999999992,0.018814941029393198,0.6726083672983322
2022-06-06,11.0,61.9659,-0.3699999999999992,0.018614984477516777,0.6708146104040756
2022-06-07,11.0,61.1094,-0.3699999999999992,0.018662164368209663,0.6707495355632943
2022-06-08,11.0,60.9565,-0.3699999999999992,0.018917249713594923,0.6689032656658472
2022-06-09,11.0,60.2282,-0.3699999999999992,0.017089804299964192,0.6694949288467703
2022-06-10,11.0,58.3895,-0.3699999999999992,0.017080388658161118,0.6681734906197906
2022-06-14,9.5,57.778,-0.3699999999999992,0.01604658324053882,0.6670398627472588
2022-06-15,9.5,57.0926,-0.3699999999999992,0.015178580637069136,0.6655185781573427
2022-06-16,9.5,56.6624,-0.3699999999999992,0.015939607501722755,0.666398681709449
2022-06-17,9.5,56.8691,-0.3699999999999992,0.01597611001121649,0.6413842935045991
2022-06-20,9.5,56.7101,-0.3699999999999992,0.01568206342864702,0.6401272281842713
2022-06-21,9.5,56.1727,-0.3699999999999992,0.014695982943307843,0.44347078010952296
2022-06-22,9.5,54.7081,-0.3699999999999992,0.014687551075388348,0.4582580372638539
2022-06-23,9.5,53.2788,-0.3699999999999992,0.014292292576658464,0.42680450629865346
2022-06-24,9.5,53.3578,-0.3699999999999992,0.012523860607600162,0.43399077228342653
2022-06-27,9.5,53.3234,-0.3699999999999992,0.012753530179464772,0.43871175361432074
2022-06-28,9.5,53.3641,-0.3699999999999992,0.012759949258913312,0.4391776108302088
2022-06-29,9.5,52.9699,-0.3699999999999992,0.012354362684091796,0.44158752293809533
2022-06-30,9.5,51.158,0.1399999999999988,0.020430235828523956,0.40564012025532814
2022-07-01,9.5,52.5123,0.1399999999999988,0.02028248692434122,0.4196907098019529
2022-07-04,9.5,53.7676,0.1399999999999988,0.020118509517981997,0.42189114353632123
2022-07-05,9.5,55.0858,0.1399999999999988,0.020170582469953232,0.4097032520583043
2022-07-06,9.5,58.5118,0.1399999999999988,0.020134616373301717,0.4150536073184008
2022-07-07,9.5,62.911,0.1399999999999988,0.01991447175330448,0.41334151417660747
2022-07-08,9.5,63.1427,0.1399999999999988,0.019804572299314586,0.4155290963069887
2022-07-11,9.5,61.2664,0.1399999999999988,0.020620931892496256,0.423115134061241
2022-07-12,9.5,61.3045,0.1399999999999988,0.020726250405851715,0.42608639178248764
2022-07-13,9.5,58.8541,0.1399999999999988,0.021073322860366183,0.43564545148093614
2022-07-14,9.5,58.5322,0.1399999999999988,0.020076796933407713,0.40875686661616367
2022-07-15,9.5,58.2568,0.1399999999999988,0.021105341519283463,0.41461510568328647
2022-07-18,9.5,57.8323,0.1399999999999988,0.020150498270168217,0.4107274427088635
2022-07-19,9.5,56.5616,0.1399999999999988,0.0199856396142606,0.4124879847692259
2022-07-20,9.5,55.437,0.1399999999999988,0.01986610942096769,0.4130479398477949
