ticker,company_name,report_period_end,publish_date,report_type,accounting_standard,language,source_name,source_url,local_path,download_status,content_type,detected_extension,file_sha256,bytes,pages
GAZP,??? ???????,2021-09-30,2021-11-26,ifrs_9m,IFRS,ru,manual_gazp,,GAZP\gazprom-ifrs-2021-9mnth-ru.pdf,manual,application/pdf,.pdf,f81d78b3d3909ad521c266088a541f826bc219570494b946026b706393eec6a7,1588442,56
GAZP,??? ???????,2021-12-31,2022-04-28,ifrs_fy,IFRS,ru,manual_gazp,,GAZP\gazprom-ifrs-2021-12mnth-ru.pdf,manual,application/pdf,.pdf,522d7a689d5af9e70901315143dd03c9fdb26b6f62701d66505917c1ad4d13c0,2525124,103
